customer_id,age,income,credit_score,loan_amount,employment_years,debt_to_income,home_ownership,loan_purpose,default_flag
1,35,65000,720,25000,8,0.35,Own,debt_consolidation,0
2,28,45000,680,15000,3,0.42,Rent,home_improvement,0
3,42,85000,750,35000,12,0.28,Own,major_purchase,0
4,31,52000,650,20000,5,0.48,Rent,debt_consolidation,1
5,39,78000,740,30000,10,0.32,Own,home_improvement,0
6,26,38000,620,12000,2,0.55,Rent,credit_card,1
7,45,95000,780,40000,15,0.25,Own,major_purchase,0
8,33,58000,690,22000,6,0.39,Rent,debt_consolidation,0
9,37,72000,730,28000,9,0.33,Own,home_improvement,0
10,29,41000,640,16000,4,0.51,Rent,credit_card,1
11,48,110000,800,50000,18,0.22,Own,major_purchase,0
12,32,49000,670,18000,5,0.44,Rent,debt_consolidation,0
13,41,83000,760,32000,11,0.29,Own,home_improvement,0
14,27,36000,610,10000,1,0.58,Rent,credit_card,1
15,44,98000,790,45000,16,0.24,Own,major_purchase,0
16,34,61000,700,24000,7,0.37,Own,debt_consolidation,0
17,30,47000,660,17000,4,0.46,Rent,home_improvement,0
18,38,75000,740,29000,10,0.31,Own,major_purchase,0
19,25,35000,600,9000,1,0.62,Rent,credit_card,1
20,43,88000,770,38000,14,0.26,Own,home_improvement,0
21,36,67000,710,26000,8,0.36,Own,debt_consolidation,0
22,31,51000,680,19000,5,0.43,Rent,major_purchase,0
23,40,81000,750,33000,12,0.30,Own,home_improvement,0
24,28,43000,630,14000,3,0.53,Rent,credit_card,1
25,46,102000,785,47000,17,0.23,Own,major_purchase,0
26,33,56000,685,21000,6,0.40,Rent,debt_consolidation,0
27,39,76000,735,30000,10,0.32,Own,home_improvement,0
28,26,39000,615,11000,2,0.56,Rent,credit_card,1
29,47,106000,795,48000,19,0.21,Own,major_purchase,0
30,32,54000,675,20000,5,0.41,Rent,debt_consolidation,0
31,37,70000,725,27000,9,0.34,Own,home_improvement,0
32,29,44000,645,15000,3,0.49,Rent,credit_card,1
33,42,87000,765,36000,13,0.27,Own,major_purchase,0
34,35,63000,705,25000,7,0.38,Own,debt_consolidation,0
35,31,48000,665,18000,4,0.45,Rent,home_improvement,0
36,38,74000,735,28000,10,0.33,Own,major_purchase,0
37,27,37000,605,10000,2,0.59,Rent,credit_card,1
38,44,93000,775,42000,15,0.25,Own,home_improvement,0
39,34,59000,695,23000,6,0.39,Rent,debt_consolidation,0
40,41,79000,745,31000,11,0.31,Own,major_purchase,0
41,30,46000,655,16000,4,0.47,Rent,credit_card,1
42,45,99000,785,44000,16,0.24,Own,home_improvement,0
43,33,57000,690,22000,6,0.40,Rent,debt_consolidation,0
44,40,78000,740,30000,11,0.32,Own,major_purchase,0
45,28,42000,635,13000,3,0.52,Rent,credit_card,1
46,47,105000,790,46000,18,0.22,Own,home_improvement,0
47,35,64000,715,25000,8,0.36,Own,debt_consolidation,0
48,32,50000,670,19000,5,0.44,Rent,major_purchase,0
49,39,77000,740,29000,10,0.32,Own,home_improvement,0
50,26,38000,620,11000,2,0.57,Rent,credit_card,1
